해외거주경험,기초다지기,성실히가르치겠습니다.,A,16
학원강사경험,카리스마형,학원경험이풍부합니다!,A,17
특목고졸업,자상한지도형,자상한선배처럼가르칩니다.,A,18
대회입상경험,쪽집게형,시험에나오는것만배우자!,A,19
없음,문제풀이형,문제만쏙쏙문제최다보유!,A,20
특목고졸업,혼합형,스파르타식으로가르칩니다.,A,21
없음,없음,반갑습니다.열심히할게요.,A,22
없음,기초다지기,엘리트가되고싶은자내게와라,A,23
특목고졸업,카리스마형,올림피아드전문입니다.,A,24
없음,자상한지도형,가성비최고의과외선생님,A,25
해외거주경험,쪽집게형,내후배처럼책임지겠습니다.,A,26
학원강사경험,문제풀이형,숙제를많이내줍니다.,A,27
특목고졸업,혼합형,특목고졸업으로쌓은내공!,A,28
대회입상경험,없음,잘부탁드립니다.,A,29
없음,기초다지기,기초부터차근차근가르칩니다.,A,30
학원강사경험,카리스마형,경험을 살려 열심히 가르치겠습니다,A,1
없음,기초다지기,기초를 탄탄히 다져드립니다,A,2
대회입상경험,자상한지도형,섬세하게 봐드리겠습니다,A,3
특목고졸업,쪽집게형,빠른 성적 향상을 도와드립니다,A,4
학원강사경험,혼합형,3년간 강사 경험이 있습니다,A,5
해외거주경험,카리스마형,최선을 다하겠습니다,A,6
특목고졸업,문제풀이형,성실히 가르치겠습니다,A,7
없음,문제풀이형,숙제를 많이 내드립니다,A,8
없음,자상한지도형,꼼꼼하게 지도하겠습니다,A,9
특목고졸업,쪽집게형,단기간에 성과를 나타낼 수 있습니다,A,10
대회입상경험,쪽집게형,수능문제 배우고 나면 쉽습니다,A,11
학원강사경험,혼합형,주도적으로 할 수 있도록 돕겠습니다,A,12
특목고졸업,혼합형,고득점 할 수 있습니다,A,13
없음,자상한지도형,기초부터 가르처 드립니다,A,14
대회입상경험,카리스마형,열심히 하겠습니다,A,15
학원강사경험,카리스마형,자기주도적으로 학습할 수 있습니다,A,31
특목고졸업,자상한지도형,학생을 사랑하는 마음으로 가르칩니다,A,32
없음,쪽집게형,꼼꼼하게 최선을 다하겠습니다,A,33
해외거주경험,문제풀이형,다양한 유형의 문제들을 모두!,A,34
대회입상경험,카리스마형,믿고 맡겨 주십시오,A,35
학원강사경험,자상한지도형,기초부터 탄탄하게 가르칩니다,A,36
없음,기초다지기형,기초가 제일 중요합니다,A,37
특목고졸업,기초다지기형,질문받는것을 가장 좋아합니다,A,38
없음,쪽집게형,사랑으로 가르치겠습니다,A,39
없음,카리스마형,모르면 넘어가지 않습니다,A,40
해외거주경험,문제풀이형,믿고 맡겨주십시오,A,41
없음,자상한지도형,친절하게 가르칩니다,A,42
대회입상경험,혼합형,부족한 곳까지 꼼꼼하게,A,43
해외거주경험,혼합형,최선을 다하겠습니다,A,44
없음,문제풀이형,자기주도적 학생으로 키우겠습니다,A,45
해외거주경험,기초다지기,영어 능통합니다.원어민수준~,A,46
학원강사경험,카리스마형,학원 경험이 풍부합니다!,A,47
특목고졸업,자상한지도형,따뜻한 선배처럼 가르칩니다.,A,48
대회입상경험,쪽집게형,시험에 나오는것만 배우자!,A,49
없음,문제풀이형,문제만 쏙쏙 문제 최다보유!,A,50
해외거주경험,혼합형,글로벌한 선생님이 되겠습니다.,A,51
학원강사경험,없음,안녕하세요 열심히 할게요.,A,52
특목고졸업,기초다지기,엘리트가 되고 싶은자 내게와라,A,53
대회입상경험,카리스마형,올림피아드 전문입니다.,A,54
없음,자상한지도형,가성비 최고의 과외선생님,A,55
해외거주경험,쪽집게형,내 동생처럼 책임지겠습니다.,A,56
학원강사경험,문제풀이형,잘 부탁 드립니다.,A,57
특목고졸업,혼합형,특목고 졸업으로 쌓은 내공!,A,58
대회입상경험,없음,최선을 다하는 과외머신!,A,59
없음,기초다지기,기초부터 튼튼한 나무로 만듭니다.,A,60
